run_id,scenario_name,round_number,metric.communication_feature_presence,metric.communication_open_coding,metric.content_filter_refusal,metric.english_ngram_backoff_surprisal,metric.english_ngram_surprisal,metric.gzip_compression_ratio,metric.language_emergence,metric.language_strangeness,metric.mean_chars_per_message,metric.mean_chars_per_round,metric.mean_message_length,metric.mean_word_length,metric.message_entropy,metric.neologism,metric.perplexity,metric.postmortem_ended_timeout,metric.protocol_probe,metric.round_ended_idle,metric.round_ended_timeout,metric.round_success,metric.shorthand_codes,metric.slang_emergence
veyru/1780571883,veyru,5,,,,2.501097078768924,2.495004803140975,0.8270625429629314,,,137.375,,,,4.226301120794747,,5.254514932632446,,,,,1.0,,
veyru/1780571883,veyru,6,,,,2.3582398105170137,2.3667380814759733,0.7184813033451511,,,168.75,,,,4.171733580145423,,4.808409094810486,1.0,,,,1.0,,
veyru/1780571883,veyru,7,,,,2.313199827259042,2.3351985620222693,0.7759916520371395,,,144.21428571428572,,,,4.202476169564667,,5.099596091679165,1.0,,,,0.0,,
veyru/1780571883,veyru,8,,,,2.262150358590976,2.273534308842205,0.8267478005128828,,1.0,110.63157894736842,,,,4.124808649112596,,5.090941805588572,1.0,,,,0.0,,
veyru/1780571883,veyru,9,,,,2.2663835288202634,2.3002575904660136,0.7936853331512626,,1.0,136.33333333333334,,,,4.1870910656629325,,4.943964163462321,1.0,,1.0,,0.0,,
veyru/1780571883,veyru,10,,,,2.2672148027702166,2.2958698031268163,0.6992556429240822,,,171.25,,,,4.128397031442725,,4.650208592414856,1.0,,,,1.0,,
veyru/1780571883,veyru,11,,,,2.2786563549295424,2.3185766898050293,0.7200305919180421,,,181.5,,,,4.123017584245546,,4.230945825576782,1.0,,1.0,,0.0,,
veyru/1780571883,veyru,12,,,,2.2610555930653256,2.284716146336141,0.7121566745021527,,,155.16666666666666,,,,4.0505876994716905,,4.542821327845256,1.0,,,,1.0,,
veyru/1780571883,veyru,13,,,,2.2497256527301115,2.2936159899283566,0.7082346941330038,,1.0,176.0,,,,4.137731378625988,,4.528035461902618,1.0,,,,1.0,,
veyru/1780571883,veyru,14,,,,2.2341304557102633,2.2401547660778673,0.7985681625606083,,,121.94117647058823,,,,4.127729662522476,,5.163711940540987,,,,,0.0,,
veyru/1780571883,veyru,15,,,,2.3912285847229082,2.439644729440624,0.8223815672864103,,,122.88888888888889,,,,4.155035119312416,,5.1684021419949,,,,,1.0,,
veyru/1780571887,veyru,1,,,,2.653869928206962,2.7207994831026268,0.907936507936508,,,92.5,,,,4.183512215676075,,5.567358016967773,,,,,0.0,1.0,
veyru/1780571887,veyru,2,,,,2.9902529559351576,2.8688098531165513,0.8761467889908257,,1.0,83.5,,,,4.201836020708412,,5.756819725036621,,,,,0.0,1.0,
veyru/1780571887,veyru,3,,,,3.6139180075703936,3.610753652372824,1.0044063152605713,,1.0,56.5,,,,3.9925811391091894,,7.311493396759033,,,,,0.0,1.0,
veyru/1780571887,veyru,4,,,,4.039291693907745,3.737188339851791,1.0703703703703704,,1.0,35.666666666666664,,,,4.072849516254142,,7.478430271148682,,,1.0,,0.0,1.0,
veyru/1780571887,veyru,5,,,,2.639796072255492,2.738645460698336,0.9098544232922732,,,85.0,,,,4.218161472316234,,6.577696084976196,,,,,0.0,1.0,
veyru/1780571887,veyru,6,,,,2.8707090551667016,3.0084850300789223,1.0120797318355585,,1.0,51.0,,,,4.02681834602399,,6.256054719289144,,,,,0.0,1.0,
