src_id,field_observer_model,engineer_model,model_class,round_time_budget_seconds,baseline_round_success_fraction,cross_family_observer,n_expected,expected_mean,expected_std,n_expected_no_pm,expected_no_pm_mean,expected_no_pm_std,n_learned,learned_mean,learned_std,n_cross_family,cross_family_mean,cross_family_std,delta
veyru/1780424131,gpt-5.4,gpt-5.4,closed,250,0.4,opus47,3,0.09090909090909091,0.0,3,0.06060606060606061,0.0524863881081478,9,0.09090909090909091,0.0,3,0.09090909090909091,0.0,0.030303030303030304
veyru/1780425678,gpt-5.4,gpt-5.4,closed,250,0.5333333333333333,opus47,3,0.2424242424242424,0.052486388108147784,3,0.18181818181818182,0.1574591643244434,9,0.21212121212121213,0.10163945352271771,3,0.21212121212121213,0.052486388108147784,0.030303030303030304
veyru/1780598092,gpt-5.4,gpt-5.4,closed,250,0.6,opus47,3,0.5454545454545454,0.09090909090909091,3,0.5151515151515151,0.1049727762162956,9,0.4343434343434343,0.13466961238356953,3,0.45454545454545453,0.09090909090909088,-0.08080808080808083
veyru/1780598097,gpt-5.4,gpt-5.4,closed,250,0.7333333333333333,opus47,3,0.8181818181818182,0.0,3,0.787878787878788,0.05248638810814781,9,0.595959595959596,0.19344159598187433,3,0.3333333333333333,0.2287828616748712,-0.19191919191919193
veyru/1780598311,gpt-5.4,gpt-5.4,closed,250,0.3333333333333333,opus47,3,0.09090909090909091,0.0,3,0.09090909090909091,0.0,9,0.09090909090909091,0.0,3,0.09090909090909091,0.0,0.0
veyru/1780598317,gpt-5.4,gpt-5.4,closed,250,0.4666666666666667,opus47,3,0.12121212121212122,0.0524863881081478,3,0.12121212121212122,0.0524863881081478,9,0.12121212121212122,0.045454545454545456,3,0.15151515151515152,0.0524863881081478,0.0
veyru/1780598450,gpt-5.4,gpt-5.4,closed,250,0.4666666666666667,opus47,3,0.21212121212121213,0.052486388108147784,3,0.2727272727272727,0.09090909090909091,9,0.20202020202020202,0.09935512915609092,3,0.42424242424242425,0.052486388108147784,-0.07070707070707069
veyru/1780600361,gpt-5.4,gpt-5.4,closed,250,0.8,opus47,3,0.9393939393939393,0.05248638810814781,3,0.8787878787878788,0.2099455524325912,9,0.6868686868686869,0.1372028051232942,3,0.5757575757575757,0.13886593015017698,-0.19191919191919193
veyru/1780600649,gpt-5.4,gpt-5.4,closed,250,0.6666666666666666,opus47,3,0.7272727272727273,0.15745916432444343,3,0.8484848484848485,0.18924236358783025,9,0.6262626262626263,0.23812475220457138,3,0.5757575757575758,0.22878286167487122,-0.2222222222222222
veyru/1780611949,gpt-5.4,gpt-5.4,closed,250,0.7333333333333333,opus47,3,0.7575757575757576,0.10497277621629562,3,0.7575757575757576,0.05248638810814781,9,0.5050505050505051,0.227777217854135,3,0.45454545454545453,0.09090909090909088,-0.2525252525252525
veyru/1780612051,gpt-5.4,gpt-5.4,closed,250,0.8,opus47,3,0.787878787878788,0.05248638810814781,3,0.8181818181818182,0.09090909090909088,9,0.3838383838383838,0.12676667068698114,3,0.303030303030303,0.2287828616748712,-0.4343434343434344
